######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
  384.920013   0.0000000D+00
  384.929993   0.0000000D+00
  384.940002   0.0000000D+00
  384.950012   0.0000000D+00
  384.959991   0.0000000D+00
  384.970001   0.0000000D+00
  384.980011   0.0000000D+00
  384.989990   0.0000000D+00
  385.000000   0.0000000D+00
  385.010010   0.0000000D+00
  385.019989   0.0000000D+00
  385.029999   0.0000000D+00
  385.040009   0.0000000D+00
  385.049988   0.0000000D+00
  385.059998   0.0000000D+00
  385.070007   0.0000000D+00
  385.079987   0.0000000D+00
  385.089996   0.0000000D+00
  385.100006   0.0000000D+00
  385.109985   0.0000000D+00
  385.119995   0.0000000D+00
  385.130005   0.0000000D+00
  385.140015   0.0000000D+00
  385.149994   0.0000000D+00
  385.160004   0.0000000D+00
  385.170013   0.0000000D+00
  385.179993   0.0000000D+00
  385.190002   0.0000000D+00
  385.200012   0.0000000D+00
  385.209991   0.0000000D+00
  385.220001   0.0000000D+00
  385.230011   0.0000000D+00
  385.239990   0.0000000D+00
  385.250000   0.0000000D+00
  385.260010   0.0000000D+00
  385.269989   0.0000000D+00
  385.279999   0.0000000D+00
  385.290009   0.0000000D+00
  385.299988   0.0000000D+00
  385.309998   0.0000000D+00
  385.320007   0.0000000D+00
  385.329987   0.0000000D+00
  385.339996   0.0000000D+00
  385.350006   0.0000000D+00
  385.359985   0.0000000D+00
  385.369995   0.0000000D+00
  385.380005   0.0000000D+00
  385.390015   0.0000000D+00
  385.399994   0.0000000D+00
  385.410004   0.0000000D+00
  385.420013   0.0000000D+00
  385.429993   0.0000000D+00
  385.440002   0.0000000D+00
  385.450012   0.0000000D+00
  385.459991   0.0000000D+00
  385.470001   0.0000000D+00
  385.480011   0.0000000D+00
  385.489990   0.0000000D+00
  385.500000   0.0000000D+00
  385.510010   0.0000000D+00
  385.519989   0.0000000D+00
  385.529999   0.0000000D+00
  385.540009   0.0000000D+00
  385.549988   0.0000000D+00
  385.559998   0.0000000D+00
  385.570007   0.0000000D+00
  385.579987   0.0000000D+00
  385.589996   0.0000000D+00
  385.600006   0.0000000D+00
  385.609985   0.0000000D+00
  385.619995   0.0000000D+00
  385.630005   0.0000000D+00
  385.640015   0.0000000D+00
  385.649994   0.0000000D+00
  385.660004   0.0000000D+00
  385.670013   0.0000000D+00
  385.679993   0.0000000D+00
  385.690002   0.0000000D+00
  385.700012   0.0000000D+00
  385.709991   0.0000000D+00
  385.720001   0.0000000D+00
  385.730011   0.0000000D+00
  385.739990   0.0000000D+00
  385.750000   0.0000000D+00
  385.760010   0.0000000D+00
  385.769989   0.0000000D+00
  385.779999   0.0000000D+00
  385.790009   0.0000000D+00
  385.799988   0.0000000D+00
  385.809998   0.0000000D+00
  385.820007   0.0000000D+00
  385.829987   0.0000000D+00
  385.839996   0.0000000D+00
  385.850006   0.0000000D+00
  385.859985   0.0000000D+00
  385.869995   0.0000000D+00
  385.880005   0.0000000D+00
  385.890015   0.0000000D+00
  385.899994   0.0000000D+00
  385.910004   0.0000000D+00
  385.920013   0.0000000D+00
  385.929993   0.0000000D+00
  385.940002   0.0000000D+00
  385.950012   0.0000000D+00
  385.959991   0.0000000D+00
  385.970001   0.0000000D+00
  385.980011   0.0000000D+00
  385.989990   0.0000000D+00
  386.000000   0.0000000D+00
  386.010010   0.0000000D+00
  386.019989   0.0000000D+00
  386.029999   0.0000000D+00
  386.040009   0.0000000D+00
  386.049988   0.0000000D+00
  386.059998   0.0000000D+00
  386.070007   0.0000000D+00
  386.079987   0.0000000D+00
  386.089996   0.0000000D+00
  386.100006   0.0000000D+00
  386.109985   0.0000000D+00
  386.119995   0.0000000D+00
  386.130005   0.0000000D+00
  386.140015   0.0000000D+00
  386.149994   0.0000000D+00
  386.160004   0.0000000D+00
  386.170013   0.0000000D+00
  386.179993   0.0000000D+00
  386.190002   0.0000000D+00
  386.200012   0.0000000D+00
  386.209991   0.0000000D+00
  386.220001   0.0000000D+00
  386.230011   0.0000000D+00
  386.239990   0.0000000D+00
  386.250000   0.0000000D+00
  386.260010   0.0000000D+00
  386.269989   0.0000000D+00
  386.279999   0.0000000D+00
  386.290009   0.0000000D+00
  386.299988   0.0000000D+00
  386.309998   0.0000000D+00
  386.320007   0.0000000D+00
  386.329987   0.0000000D+00
  386.339996   0.0000000D+00
  386.350006   0.0000000D+00
  386.359985   0.0000000D+00
  386.369995   0.0000000D+00
  386.380005   0.0000000D+00
  386.390015   0.0000000D+00
  386.399994   0.0000000D+00
  386.410004   0.0000000D+00
  386.420013   0.0000000D+00
